Etape	m2	p2
658	387	0
659	388	0
660	389	0
661	390	0
662	391	0
663	392	0
664	393	0
665	394	0
666	395	0
667	396	0
668	396	0
669	396	0
670	397	0
671	398	0
672	399	0
673	400	0
674	400	0
675	401	0
676	402	0
677	402	0
678	403	0
679	404	0
680	405	0
681	406	0
682	406	0
683	406	0
684	407	0
685	408	0
686	408	0
687	408	0
688	409	0
689	409	0
690	411	0
691	412	0
692	413	0
693	413	0
694	413	0
695	413	0
696	413	0
697	414	0
698	415	0
699	415	0
700	415	0
701	416	0
702	416	0
703	416	0
704	417	0
705	418	0
706	419	0
707	420	0
708	421	0
709	422	0
710	422	0
711	423	0
712	424	0
713	424	0
714	424	0
715	425	0
716	426	0
717	427	0
718	428	0
719	429	0
720	429	0
721	430	0
722	431	0
723	431	0
724	432	0
725	432	0
726	432	0
727	433	0
728	434	0
729	434	0
730	434	0
731	434	0
732	435	0
733	435	0
734	436	0
735	436	0
736	437	0
737	438	0
738	438	0
739	438	0
740	439	0
741	440	0
742	440	0
743	441	0
744	442	0
745	443	0
746	444	0
747	444	0
748	444	0
749	444	0
750	444	0
751	445	0
752	446	0
753	447	0
754	448	0
755	448	0
756	449	0
757	450	0
758	451	0
759	452	0
760	452	0
761	453	0
762	453	0
763	454	0
764	454	0
765	455	0
766	456	0
767	457	0
768	458	0
769	459	0
770	460	0
771	461	0
772	461	0
773	461	0
774	462	0
775	463	0
776	464	0
777	464	0
778	465	0
779	465	0
780	465	0
781	466	0
782	466	0
783	466	0
784	467	0
785	468	0
786	468	0
787	469	0
788	469	0
789	470	0
790	471	0
791	472	0
792	472	0
793	472	0
794	473	0
795	474	0
796	475	0
797	476	0
798	477	0
799	478	0
800	479	0
801	479	0
802	480	0
803	480	0
804	480	0
805	480	0
806	480	0
807	480	0
808	480	0
809	480	0
810	481	0
811	482	0
812	483	0
813	484	0
814	485	0
815	485	0
816	485	0
817	485	0
818	485	0
819	486	0
820	487	0
821	488	0
822	488	0
823	488	0
824	489	0
825	490	0
826	490	0
827	490	0
828	490	0
829	491	0
830	492	0
831	493	0
832	493	0
833	493	0
834	494	0
835	494	0
836	495	0
837	496	0
838	497	0
839	497	0
840	498	0
841	499	0
842	499	0
843	499	0
844	500	0
845	501	0
846	502	0
847	502	0
848	502	0
849	502	0
850	503	0
851	504	0
852	504	0
853	504	0
854	504	0
855	504	0
856	504	0
857	504	0
858	505	0
859	506	0
860	506	0
861	507	0
862	508	0
863	508	0
864	509	0
865	509	0
866	510	0
867	511	0
868	511	0
869	511	0
870	511	0
871	512	0
872	512	0
873	512	0
874	512	0
875	513	0
876	514	0
877	515	0
878	515	0
879	516	0
880	516	0
881	516	0
882	516	0
883	517	0
884	517	0
885	518	0
886	519	0
887	520	0
888	520	0
889	520	0
890	520	0
891	520	0
892	520	0
893	520	0
894	521	0
895	522	0
896	522	0
897	523	0
898	524	0
899	525	0
900	525	0
901	526	0
902	527	0
903	528	0
904	528	0
905	529	0
906	529	0
907	530	0
908	530	0
909	531	0
910	532	0
911	532	0
912	533	0
913	534	0
914	535	0
915	535	0
916	535	0
917	536	0
918	537	0
919	538	0
920	539	0
921	540	0
922	541	0
923	541	0
924	541	0
925	541	0
926	542	0
927	542	0
928	542	0
929	542	0
930	543	0
931	543	0
932	544	0
933	545	0
934	545	0
935	545	0
936	545	0
937	546	0
938	547	0
939	548	0
940	548	0
941	548	0
942	548	0
943	548	0
944	548	0
945	549	0
946	550	0
947	551	0
948	551	0
949	551	0
950	551	0
951	552	0
952	552	0
953	552	0
954	552	0
955	552	0
956	552	0
957	553	0
958	553	0
959	554	0
960	555	0
961	555	0
962	555	0
963	556	0
964	556	0
965	556	0
966	557	0
967	558	0
968	559	0
969	560	0
970	560	0
971	561	0
972	561	0
973	563	0
974	564	0
975	565	0
976	566	0
977	567	0
978	567	0
979	567	0
980	568	0
981	568	0
982	569	0
983	570	0
984	570	0
985	570	0
986	571	0
987	572	0
988	572	0
989	573	0
990	573	0
991	573	0
992	574	0
993	574	0
994	575	0
995	576	0
996	577	0
997	577	0
998	577	0
999	577	0
1000	578	0
1001	578	0
1002	579	0
1003	580	0
1004	581	0
1005	582	0
1006	583	0
1007	584	0
1008	585	0
1009	585	0
1010	585	0
1011	585	0
1012	586	0
1013	586	0
1014	586	0
1015	586	0
1016	587	0
1017	587	0
1018	588	0
1019	588	0
1020	588	0
1021	588	0
1022	589	0
1023	590	0
1024	591	0
1025	591	0
1026	591	0
1027	591	0
1028	592	0
1029	593	0
1030	594	0
1031	595	0
1032	596	0
1033	596	0
1034	596	0
1035	596	0
1036	597	0
1037	597	0
1038	597	0
1039	597	0
1040	598	0
1041	599	0
1042	600	0
1043	600	0
1044	600	0
1045	601	0
1046	601	0
1047	601	0
1048	601	0
1049	601	0
1050	602	0
1051	602	0
1052	603	0
1053	603	0
1054	604	0
1055	605	0
1056	606	0
1057	606	0
1058	607	0
1059	607	0
1060	607	0
1061	607	0
1062	607	0
1063	608	0
1064	608	0
1065	608	0
1066	609	0
1067	610	0
1068	611	0
1069	612	0
1070	612	0
1071	613	0
1072	613	0
1073	613	0
1074	613	0
1075	613	0
1076	613	0
1077	614	0
1078	615	0
1079	615	0
1080	615	0
1081	615	0
1082	616	0
1083	617	0
1084	617	0
1085	617	0
1086	617	0
1087	618	0
1088	618	0
1089	618	0
1090	619	0
1091	619	0
1092	619	0
